Location,Date,Time,CO2,CO,Smoke
Chembur,Monday,20,1662,880,123
Khar,Monday,21,1553,759,142
Turbhe,Monday,22,1423,394,142
Khar,Monday,23,1458,639,169
Khar,Tuesday,0,1349,541,142
Thane,Tuesday,1,1326,468,136
Thane,Tuesday,2,1356,483,147
Ulhas,Tuesday,3,1460,682,196
Ulhas,Tuesday,4,1497,698,186
Kurla,Tuesday,5,1645,832,177
Ulhas,Tuesday,6,1557,872,164
Vashi,Tuesday,7,1747,899,161
Ulhas,Tuesday,8,1482,692,146
Thane,Tuesday,9,1211,145,98
Ulhas,Tuesday,10,1294,208,108
Khar,Tuesday,11,1300,204,107
Chembur,Tuesday,12,1402,240,113
Panvel,Tuesday,13,1349,251,100
Vashi,Tuesday,14,1161,173,87
Turbhe,Tuesday,15,1022,113,0
Kurla,Tuesday,16,948,55,60
Turbhe,Tuesday,17,933,65,65
Vashi,Tuesday,18,1021,119,64
Kurla,Tuesday,19,1134,151,73
Turbhe,Tuesday,20,1311,305,86
Kurla,Tuesday,21,1409,415,105
Kurla,Tuesday,22,1301,321,107
Ulhas,Tuesday,23,1354,358,114
Panvel,Wednesday,0,1391,350,105
Khar,Wednesday,1,1200,238,74
Panvel,Wednesday,2,1338,215,95
Vashi,Wednesday,3,1223,192,89
Panvel,Wednesday,4,1278,205,95
Vashi,Wednesday,5,1257,165,93
Thane,Wednesday,6,1497,283,123
Chembur,Wednesday,7,1567,467,134
Khar,Wednesday,8,1503,485,126
Chembur,Wednesday,9,1169,202,79
Vashi,Wednesday,10,1007,64,54
Chembur,Wednesday,11,1004,71,69
Vashi,Wednesday,12,967,84,67
Ulhas,Wednesday,13,984,70,73
Ulhas,Wednesday,14,931,61,73
Panvel,Wednesday,15,966,92,0
Chembur,Wednesday,16,777,40,33
Khar,Wednesday,17,763,20,20
Khar,Wednesday,18,804,31,37
Turbhe,Wednesday,19,830,41,50
Vashi,Wednesday,20,833,40,45
Chembur,Wednesday,21,875,35,48
Vashi,Wednesday,22,882,44,56
Khar,Wednesday,23,862,71,58
Turbhe,Thursday,0,863,66,52
Khar,Thursday,1,830,46,52
Panvel,Thursday,2,807,50,44
Thane,Thursday,3,873,51,59
Khar,Thursday,4,931,64,74
Khar,Thursday,5,918,138,76
Turbhe,Thursday,6,1001,137,83
Chembur,Thursday,7,1169,303,100
Ulhas,Thursday,8,1085,204,101
Panvel,Thursday,9,940,95,90
Khar,Thursday,10,1126,347,93
Turbhe,Thursday,11,978,252,79
Khar,Thursday,12,893,66,57
Chembur,Thursday,13,838,45,43
Turbhe,Thursday,14,803,36,25
Ulhas,Thursday,15,775,26,0
Khar,Thursday,16,767,17,17
Chembur,Thursday,17,809,21,44
Thane,Thursday,18,898,60,72
Kurla,Thursday,19,1053,155,91
Khar,Thursday,20,1033,235,89
Panvel,Thursday,21,941,89,84
Chembur,Thursday,22,941,76,83
Vashi,Thursday,23,917,101,78
Chembur,Friday,0,977,109,80
Kurla,Friday,1,994,143,75
Panvel,Friday,2,942,104,77
Chembur,Friday,3,981,107,77
Ulhas,Friday,4,984,133,81
Vashi,Friday,5,1116,171,101
Thane,Friday,6,1181,405,119
Panvel,Friday,7,1163,334,111
Panvel,Friday,8,1081,236,109
Thane,Friday,9,1017,99,101
Kurla,Friday,10,966,93,89
Chembur,Friday,11,924,82,75
Panvel,Friday,12,861,51,51
Ulhas,Friday,13,826,41,39
Khar,Friday,14,846,31,32
Khar,Friday,15,842,41,0
Panvel,Friday,16,909,41,49
Khar,Friday,17,930,38,68
Chembur,Friday,18,1120,111,76
Vashi,Friday,19,1518,584,122
Panvel,Friday,20,1461,633,129
Kurla,Friday,21,1075,145,94
Kurla,Friday,22,1061,155,99
Ulhas,Friday,23,1066,128,81
Turbhe,Saturday,0,1179,255,87
Ulhas,Saturday,1,1251,411,107
Ulhas,Saturday,2,1120,173,95
Turbhe,Saturday,3,1187,277,110
Kurla,Saturday,4,1145,259,99
Thane,Saturday,5,1215,274,113
Khar,Saturday,6,1317,377,127
Turbhe,Saturday,7,1388,457,131
Ulhas,Saturday,8,1295,555,137
Thane,Saturday,9,1153,279,122
Kurla,Saturday,10,1078,137,100
Vashi,Saturday,11,1133,203,108
Khar,Saturday,12,1055,101,83
Thane,Saturday,13,953,86,74
Kurla,Saturday,14,892,51,64
Ulhas,Saturday,15,895,47,0
Panvel,Saturday,16,859,35,40
Panvel,Saturday,17,856,33,39
Chembur,Saturday,18,1030,95,69
Turbhe,Saturday,19,1689,754,104
Vashi,Saturday,20,1486,588,100
Kurla,Saturday,21,1592,658,146
Chembur,Saturday,22,1469,372,155
Vashi,Saturday,23,1364,386,139
Ulhas,Sunday,0,1285,333,121
Vashi,Sunday,1,1311,293,108
Vashi,Sunday,2,1416,511,126
Panvel,Sunday,3,1387,559,145
Panvel,Sunday,4,1329,375,121
Thane,Sunday,5,1496,509,145
Thane,Sunday,6,1676,790,160
Kurla,Sunday,7,1724,816,155
Ulhas,Sunday,8,1642,804,162
Vashi,Sunday,9,1267,332,129
Kurla,Sunday,10,1146,156,96
Panvel,Sunday,11,1216,143,92
Turbhe,Sunday,12,1128,117,89
Vashi,Sunday,13,1042,84,61
Ulhas,Sunday,14,926,60,54
Panvel,Sunday,15,898,76,0
Kurla,Sunday,16,889,40,44
Vashi,Sunday,17,959,64,57
Khar,Sunday,18,1097,148,68
Panvel,Sunday,19,1674,635,95
Vashi,Sunday,20,1771,1129,125
Ulhas,Sunday,21,1408,475,135
Panvel,Sunday,22,1156,220,118
Thane,Sunday,23,1042,105,91
Panvel,Monday,0,1167,190,89
Kurla,Monday,1,1398,516,129
Turbhe,Monday,2,1458,346,122
Turbhe,Monday,3,1554,565,138
Kurla,Monday,4,1495,483,136
Panvel,Monday,5,1560,651,143
Chembur,Monday,6,1664,657,145
Vashi,Monday,7,1761,830,146
Khar,Monday,8,1524,435,122
Turbhe,Monday,9,1398,209,112
Chembur,Monday,10,1342,202,102
Ulhas,Monday,11,1433,174,97
Turbhe,Monday,12,1297,170,85
Chembur,Monday,13,1179,116,76
Kurla,Monday,14,1097,91,74
Vashi,Monday,15,1054,71,0
Kurla,Monday,16,1017,59,56
Chembur,Monday,17,1005,48,66
Panvel,Monday,18,1206,111,90
Panvel,Monday,19,1458,345,111
Chembur,Monday,20,1405,332,103
Vashi,Monday,21,1381,344,117
Turbhe,Monday,22,1315,212,116
Panvel,Monday,23,1332,166,109
Chembur,Monday,18,1362,214,116
Panvel,Monday,19,1399,377,115
Khar,Monday,20,1310,210,94
Khar,Monday,21,1399,265,121
Ulhas,Monday,22,1524,365,114
Ulhas,Monday,23,1487,454,110
Panvel,Tuesday,0,1480,460,122
Thane,Tuesday,1,1626,642,135
Ulhas,Tuesday,2,1449,501,133
Kurla,Tuesday,3,1363,234,110
Panvel,Tuesday,4,1371,212,102
Turbhe,Tuesday,5,1406,275,108
Chembur,Tuesday,6,1425,275,110
Khar,Tuesday,7,1179,135,84
Panvel,Tuesday,8,1047,135,71
Khar,Tuesday,9,1009,135,0
Panvel,Tuesday,10,882,135,42
Kurla,Tuesday,11,858,135,32
Vashi,Tuesday,12,875,135,35
Thane,Tuesday,13,1012,135,67
Thane,Tuesday,14,1049,135,73
Kurla,Tuesday,15,1131,135,86
Thane,Tuesday,16,1120,135,89
Khar,Tuesday,17,1117,135,86
Thane,Tuesday,18,1110,135,86
Khar,Tuesday,19,962,135,66
Kurla,Tuesday,20,963,135,68
Turbhe,Tuesday,21,1050,135,82
Vashi,Tuesday,22,1053,135,91
Thane,Tuesday,23,1045,135,95
Chembur,Wednesday,0,1124,135,104
Thane,Wednesday,1,1330,135,131
Ulhas,Wednesday,2,1171,135,112
Turbhe,Wednesday,3,1085,135,100
Thane,Wednesday,4,1358,135,115
Panvel,Wednesday,5,1385,135,129
Chembur,Wednesday,6,1167,135,99
Kurla,Wednesday,7,1072,135,74
Khar,Wednesday,8,938,135,55
Khar,Wednesday,9,1000,135,0
Turbhe,Wednesday,10,854,135,35
Khar,Wednesday,11,815,135,37
Turbhe,Wednesday,12,866,135,45
Turbhe,Wednesday,13,911,135,46
Turbhe,Wednesday,14,988,135,68
Kurla,Wednesday,15,1046,135,77
Vashi,Wednesday,16,1085,135,79
Turbhe,Wednesday,17,1008,135,72
Kurla,Wednesday,18,1004,135,68
Khar,Wednesday,19,948,135,64
Thane,Wednesday,20,1026,135,73
Chembur,Wednesday,21,1047,135,84
Panvel,Wednesday,22,1018,135,67
Thane,Wednesday,23,1160,135,106
Ulhas,Thursday,0,1269,135,114
Thane,Thursday,1,1394,135,123
Thane,Thursday,2,1292,135,108
Kurla,Thursday,3,1212,135,100
Chembur,Thursday,4,1137,135,118
Kurla,Thursday,5,1080,135,121
Turbhe,Thursday,6,1031,135,94
Kurla,Thursday,7,917,135,52
Thane,Thursday,8,888,135,39
Turbhe,Thursday,9,872,135,0
Chembur,Thursday,10,876,135,33
Kurla,Thursday,11,964,135,57
Ulhas,Thursday,12,1147,135,80
Turbhe,Thursday,13,1493,135,101
Panvel,Thursday,14,1597,135,109
Chembur,Thursday,15,1483,135,109
Chembur,Thursday,16,1222,135,111
Panvel,Thursday,17,1060,135,102
Kurla,Thursday,18,1048,135,96
Thane,Thursday,19,1051,135,90
Turbhe,Thursday,20,998,135,69
Turbhe,Thursday,21,1058,135,74
Turbhe,Thursday,22,1203,135,102
Panvel,Thursday,23,1491,135,128
Panvel,Friday,0,1467,135,130
Thane,Friday,1,1407,135,120
Vashi,Friday,2,1324,135,113
Kurla,Friday,3,1214,135,100
Panvel,Friday,4,1016,135,70
Turbhe,Friday,5,1135,135,83
Ulhas,Friday,6,1065,135,81
Thane,Friday,7,999,135,69
Ulhas,Friday,8,911,135,48
Vashi,Friday,9,873,135,0
Kurla,Friday,10,881,135,28
Ulhas,Friday,11,967,135,47
Thane,Friday,12,1280,135,88
Chembur,Friday,13,1564,135,109
Ulhas,Friday,14,1505,135,113
Panvel,Friday,15,1309,135,104
Panvel,Friday,16,1035,135,65
Chembur,Friday,17,1148,135,87
Thane,Friday,18,1152,135,99
Turbhe,Friday,19,1131,135,100
Kurla,Friday,20,1142,135,105
Khar,Friday,21,1197,135,97
Ulhas,Friday,22,960,135,54
Panvel,Friday,23,1077,135,59
Khar,Saturday,0,1377,135,109
Thane,Saturday,1,1405,135,125
Khar,Saturday,2,1484,135,132
Turbhe,Saturday,3,1187,135,110
Kurla,Saturday,4,870,135,53
Chembur,Saturday,5,932,135,61
Khar,Saturday,6,830,135,41
Ulhas,Saturday,7,778,135,22
Turbhe,Saturday,8,820,135,28
Panvel,Saturday,9,842,135,0
Ulhas,Saturday,10,867,135,41
Khar,Saturday,11,927,135,54
Khar,Saturday,12,1060,135,81
Khar,Saturday,13,1440,135,107
Thane,Saturday,14,1449,135,0
Panvel,Saturday,15,1384,135,124
Ulhas,Saturday,16,1172,135,123
Chembur,Saturday,17,1143,135,120
Ulhas,Saturday,18,1167,135,113
Thane,Saturday,19,1303,135,114
Panvel,Saturday,20,1264,135,120
Kurla,Saturday,21,1242,135,125
Chembur,Saturday,22,1070,135,88
Vashi,Saturday,23,981,135,72
Ulhas,Sunday,0,1198,135,103
Vashi,Sunday,1,1000,135,67
Ulhas,Sunday,2,1110,135,79
Turbhe,Sunday,3,1023,135,89
Ulhas,Sunday,4,861,135,67
Kurla,Sunday,5,969,135,83
Vashi,Sunday,6,898,135,76
Turbhe,Sunday,7,835,135,58
Kurla,Sunday,8,766,135,30
Vashi,Sunday,9,743,135,0
Ulhas,Sunday,10,758,135,22
Turbhe,Sunday,11,804,135,50
Ulhas,Sunday,12,948,135,92
Ulhas,Sunday,13,1204,135,101
Thane,Sunday,14,1231,135,121
Thane,Sunday,15,1176,135,130
Panvel,Sunday,16,1043,135,114
Khar,Sunday,17,992,135,100
Ulhas,Sunday,18,885,135,56
Khar,Sunday,19,991,135,75
Kurla,Sunday,20,1182,135,121
Turbhe,Sunday,21,1191,135,128
Thane,Sunday,22,1272,135,139
Vashi,Sunday,23,1138,135,122
Kurla,Monday,0,1008,135,92
Chembur,Monday,1,1075,135,97
Thane,Monday,2,1034,135,98
Chembur,Monday,3,934,135,93
Chembur,Monday,4,883,135,65
Turbhe,Monday,5,1021,135,81
Ulhas,Monday,6,1059,135,102
Khar,Monday,7,1023,135,91
Thane,Monday,8,855,135,56
Kurla,Monday,9,826,135,0
Kurla,Monday,10,831,135,41
Vashi,Monday,11,817,135,48
Kurla,Monday,12,972,135,72
Turbhe,Monday,13,1200,135,106
Panvel,Monday,14,1234,135,107
Turbhe,Monday,15,1164,135,127
Ulhas,Monday,16,976,135,114
Chembur,Monday,17,844,135,101
Kurla,Monday,18,851,135,95
Chembur,Monday,19,926,135,110
Thane,Monday,20,890,135,101
Kurla,Monday,21,921,135,106
Vashi,Monday,22,1052,135,116
Panvel,Monday,23,1247,135,124
Panvel,Monday,18,1205,135,133
Vashi,Monday,19,1016,135,96
Turbhe,Monday,20,984,135,85
Ulhas,Monday,21,1041,135,97
Thane,Monday,22,1027,135,97
Thane,Monday,23,1025,135,101
Kurla,Tuesday,0,984,135,85
Kurla,Tuesday,1,969,135,80
Ulhas,Tuesday,2,758,135,33
Turbhe,Tuesday,3,767,135,0
Khar,Tuesday,4,772,135,0
Panvel,Tuesday,5,831,135,0
Chembur,Tuesday,6,871,135,0
Panvel,Tuesday,7,995,135,0
Chembur,Tuesday,8,1093,135,0
Thane,Tuesday,9,1079,135,0
Vashi,Tuesday,10,1084,135,0
Thane,Tuesday,11,1204,135,0
Turbhe,Tuesday,12,1213,135,0
Khar,Tuesday,13,1124,135,0
Ulhas,Tuesday,14,945,135,0
Panvel,Tuesday,15,964,135,0
Chembur,Tuesday,16,903,135,0
Turbhe,Tuesday,17,918,135,0
Kurla,Tuesday,18,1028,135,0
Ulhas,Tuesday,19,1175,135,0
Panvel,Tuesday,20,1215,135,0
Chembur,Tuesday,21,1072,135,0
Kurla,Tuesday,22,1070,135,0
Vashi,Tuesday,23,1021,135,0
Turbhe,Wednesday,0,1063,135,0
Khar,Wednesday,1,1068,135,0
Thane,Wednesday,2,993,135,0
Ulhas,Wednesday,3,1034,135,0
Ulhas,Wednesday,4,1025,135,0
Turbhe,Wednesday,5,1036,135,0
Khar,Wednesday,6,924,135,0
Vashi,Wednesday,7,922,135,0
Panvel,Wednesday,8,830,135,0
Turbhe,Wednesday,9,947,135,0
Khar,Wednesday,10,977,135,0
Kurla,Wednesday,11,1025,135,0
Khar,Wednesday,12,1040,135,0
Khar,Wednesday,13,1013,135,0
Khar,Wednesday,14,1035,135,0
Turbhe,Wednesday,15,1086,135,0
Khar,Wednesday,16,967,135,0
Vashi,Wednesday,17,968,135,0
Chembur,Wednesday,18,1004,135,0
Kurla,Wednesday,19,1132,135,0
Kurla,Wednesday,20,1121,135,0
Vashi,Wednesday,21,1068,135,0
Vashi,Wednesday,22,1123,135,0
Khar,Wednesday,23,1101,135,0
Chembur,Thursday,0,997,135,0
Ulhas,Thursday,1,875,135,0
Panvel,Thursday,2,815,135,0
Kurla,Thursday,3,803,135,0
Panvel,Thursday,4,829,135,0
Chembur,Thursday,5,867,135,0
Vashi,Thursday,6,1118,135,0
Chembur,Thursday,7,1632,135,0
Khar,Thursday,8,1598,135,0
Thane,Thursday,9,1378,135,117
Vashi,Thursday,10,1132,135,107
Chembur,Thursday,11,1108,135,95
Vashi,Thursday,12,1131,135,93
Vashi,Thursday,13,1105,135,104
Chembur,Thursday,14,1120,135,102
Turbhe,Thursday,15,1100,135,109
Kurla,Thursday,16,1098,135,97
Chembur,Thursday,17,1137,135,104
Ulhas,Thursday,18,1267,135,124
Vashi,Thursday,19,1319,135,135
Kurla,Thursday,20,1160,135,122
Khar,Thursday,21,1084,135,109
Turbhe,Thursday,22,1025,135,95
Thane,Thursday,23,953,135,86
Chembur,Friday,0,959,135,78
Chembur,Friday,1,834,135,53
Panvel,Friday,2,787,135,43
Kurla,Friday,3,799,135,0
Panvel,Friday,4,807,135,53
Kurla,Friday,5,866,135,48
Kurla,Friday,6,1035,135,64
Khar,Friday,7,1469,135,95
Kurla,Friday,8,1553,135,120
Panvel,Friday,9,1513,135,153
Chembur,Friday,10,1395,135,163
Kurla,Friday,11,1209,135,119
Ulhas,Friday,12,1142,135,96
Turbhe,Friday,13,1140,135,94
Chembur,Friday,14,1105,135,86
Ulhas,Friday,15,1131,135,91
Thane,Friday,16,1162,135,97
Thane,Friday,17,1336,135,125
Vashi,Friday,18,1533,135,140
Ulhas,Friday,19,1650,135,158
Khar,Friday,20,1535,135,159
Panvel,Friday,21,1382,135,128
Thane,Friday,22,1335,135,114
Panvel,Friday,23,1267,135,100
Thane,Saturday,0,1122,135,88
Ulhas,Saturday,1,986,135,67
Thane,Saturday,2,966,135,65
Khar,Saturday,3,919,135,0
Chembur,Saturday,4,872,135,47
Thane,Saturday,5,967,135,57
Thane,Saturday,6,1152,135,73
Thane,Saturday,7,1500,135,95
Turbhe,Saturday,8,1754,135,110
Thane,Saturday,9,1558,135,121
Khar,Saturday,10,1446,135,108
Thane,Saturday,11,1349,135,125
Khar,Saturday,12,1452,135,117
Chembur,Saturday,13,1676,135,131
Chembur,Saturday,14,1327,135,126
Turbhe,Saturday,15,1248,135,114
Kurla,Saturday,16,1250,135,123
Thane,Saturday,17,1222,135,116
Kurla,Saturday,18,1159,135,107
Panvel,Saturday,19,1192,135,123
Turbhe,Saturday,20,1074,135,112
Chembur,Saturday,21,984,135,101
Kurla,Saturday,22,970,135,91
Ulhas,Saturday,23,987,135,88
Ulhas,Sunday,0,1003,135,96
Panvel,Sunday,1,933,135,75
Khar,Sunday,2,859,135,47
Kurla,Sunday,3,815,135,0
Ulhas,Sunday,4,792,135,25
Kurla,Sunday,5,835,135,49
Khar,Sunday,6,975,135,85
Kurla,Sunday,7,1133,135,106
Kurla,Sunday,8,1347,135,136
Ulhas,Sunday,9,1122,135,119
Khar,Sunday,10,1152,135,122
Ulhas,Sunday,11,1020,135,90
Chembur,Sunday,12,1066,135,97
Ulhas,Sunday,13,1105,135,98
Turbhe,Sunday,14,1056,135,93
Turbhe,Sunday,15,1084,135,98
Khar,Sunday,16,1288,135,123
Vashi,Sunday,17,1390,135,148
Thane,Sunday,18,1374,135,148
Ulhas,Sunday,19,1378,135,133
Kurla,Sunday,20,1428,135,141
Khar,Sunday,21,1336,135,131
Panvel,Sunday,22,1234,135,121
Vashi,Sunday,23,1300,135,123
Kurla,Monday,0,1246,135,107
Panvel,Monday,1,1141,135,104
Ulhas,Monday,2,1014,135,91
Thane,Monday,3,938,135,0
Turbhe,Monday,4,988,135,87
Ulhas,Monday,5,983,135,102
Turbhe,Monday,6,1033,135,95
Vashi,Monday,7,1388,135,140
Turbhe,Monday,8,1512,135,0
Khar,Monday,9,1148,135,138
Vashi,Monday,10,1095,135,113
Chembur,Monday,11,987,135,101
Turbhe,Monday,12,984,135,97
Vashi,Monday,13,1072,135,114
Khar,Monday,14,1048,135,110
Panvel,Monday,15,1042,135,103
Turbhe,Monday,16,1113,135,119
Kurla,Monday,17,1146,135,126
Thane,Monday,18,1239,135,144
Kurla,Monday,19,1302,135,164
Chembur,Monday,20,1181,135,148
Khar,Monday,21,1068,135,119
Turbhe,Monday,22,1135,135,111
Panvel,Monday,23,1121,135,115
